"subj_code","condition","block_number","case","mode","trial_index","stimulus","text_violation","purpose_violation","stim_type","yes_key","response","response_num","rt","correct_response","wrong_answer"
"SNSAAiEamlZV","accuracy_speed",6,"lab","spd",246,"To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A skilled technician enters the lab to discuss a job opening.</b><br>",1,0,"incongruent","i","no",0,1868,"",""
"SNSAAiEamlZV","accuracy_speed",6,"lab","spd",249,"To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>An amateur scientist enters the laboratory to take photographs.</b><br>",1,1,"congruent","i","no",0,4070,"",""
"SNSAAiEamlZV","accuracy_speed",6,"lab","spd",252,"To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A student enters the laboratory to observe the scientists' work.</b><br>",1,1,"congruent","i","no",0,2160,"",""
"SNSAAiEamlZV","accuracy_speed",6,"lab","spd",255,"To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A lab scientist performs a risky task while feeling dizzy and tired.</b><br>",0,1,"incongruent","i","no",0,4290,"",""
"SNSAAiEamlZV","accuracy_speed",6,"lab","spd",258,"To avoid accidents, the director of a scientific laboratory issued a rule:<br> ""Access for laboratory personnel only""<br><br><br><b>A thief enters the laboratory overnight to find and steal equipment.</b><br>",1,1,"congruent","i","yes",1,2035,"",""
"SNSAAiEamlZV","accuracy_speed",7,"shoes","spd",263,"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears brand new shoes and keeps the floor clean.</b><br>",1,0,"incongruent","i","yes",1,4157,"",""
"SNSAAiEamlZV","accuracy_speed",7,"shoes","spd",266,"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks around barefoot and dirties the carpets.</b><br>",0,1,"incongruent","i","no",0,2795,"",""
"SNSAAiEamlZV","accuracy_speed",7,"shoes","spd",269,"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears his new sneakers and the floor stays clean.</b><br>",1,0,"incongruent","i","yes",1,2387,"",""
"SNSAAiEamlZV","accuracy_speed",7,"shoes","spd",272,"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears stilettos and the carpets get pretty dirty.</b><br>",1,1,"congruent","i","yes",1,2026,"",""
"SNSAAiEamlZV","accuracy_speed",7,"shoes","spd",275,"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears clean stilettos and keeps the carpet clean.</b><br>",1,0,"incongruent","i","yes",1,2070,"",""
"SNSAAiEamlZV","accuracy_speed",7,"shoes","spd",278,"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears wet deck shoes and dirties the floors.</b><br>",1,1,"congruent","i","yes",1,2144,"",""
"SNSAAiEamlZV","accuracy_speed",7,"shoes","spd",281,"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks around in socks and keeps the floor clean.</b><br>",0,0,"congruent","i","no",0,2083,"",""
"SNSAAiEamlZV","accuracy_speed",7,"shoes","spd",284,"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest wears muddy sneakers and dirties the carpets.</b><br>",1,1,"congruent","i","yes",1,1643,"",""
"SNSAAiEamlZV","accuracy_speed",7,"shoes","spd",287,"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A barefoot guest has a bleeding toe and stains the carpets.</b><br>",0,1,"incongruent","i","no",0,1785,"",""
"SNSAAiEamlZV","accuracy_speed",7,"shoes","spd",290,"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks around barefoot and the floor stays clean.</b><br>",0,0,"congruent","i","no",0,1496,"",""
"SNSAAiEamlZV","accuracy_speed",7,"shoes","spd",293,"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks around barefoot and keeps the carpet clean.</b><br>",0,0,"congruent","i","no",0,894,"",""
"SNSAAiEamlZV","accuracy_speed",7,"shoes","spd",296,"To keep her house clean, Mary announced: ""No one may wear shoes in the house""<br><br><br><b>A guest walks in with muddy socks and dirties the carpet.</b><br>",0,1,"incongruent","i","no",0,1499,"",""
"SNSAAiEamlZV","accuracy_speed",8,"trainstation","spd",301,"To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A vagrant spends the whole night on a bench but does not sleep.</b><br>",0,1,"incongruent","i","no",0,4517,"",""
"SNSAAiEamlZV","accuracy_speed",8,"trainstation","spd",304,"To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A nightclub dancer falls asleep on a station bench after work.</b><br>",1,1,"congruent","i","yes",1,3108,"",""
"SNSAAiEamlZV","accuracy_speed",8,"trainstation","spd",307,"To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A shift worker briefly dozes on a bench waiting for her manager.</b><br>",1,0,"incongruent","i","no",0,4272,"",""
"SNSAAiEamlZV","accuracy_speed",8,"trainstation","spd",310,"To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A commuter sits on a station bench while waiting for her train.</b><br>",0,0,"congruent","i","no",0,2004,"",""
"SNSAAiEamlZV","accuracy_speed",8,"trainstation","spd",313,"To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A backpacker sits on a station bench and takes a five-minute nap.</b><br>",1,0,"incongruent","i","yes",1,4174,"",""
"SNSAAiEamlZV","accuracy_speed",8,"trainstation","spd",316,"To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A backpacker spends the night sleeping behind a station bench.</b><br>",0,1,"incongruent","i","no",0,NA,"",""
"SNSAAiEamlZV","accuracy_speed",8,"trainstation","spd",319,"To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A vagrant spends the night sleeping on a bench at the station.</b><br>",1,1,"congruent","i","yes",1,2069,"",""
"SNSAAiEamlZV","accuracy_speed",8,"trainstation","spd",322,"To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A businesswoman enters the station and buys her train ticket.</b><br>",0,0,"congruent","i","no",0,1375,"",""
"SNSAAiEamlZV","accuracy_speed",8,"trainstation","spd",325,"To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A commuter briefly falls asleep on a bench waiting for his train.</b><br>",1,0,"incongruent","i","no",0,2796,"",""
"SNSAAiEamlZV","accuracy_speed",8,"trainstation","spd",328,"To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A backpacker spends the night sleeping on a station bench.</b><br>",1,1,"congruent","i","yes",1,1947,"",""
"SNSAAiEamlZV","accuracy_speed",8,"trainstation","spd",331,"To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A backpacker looks for her lost phone on the station platform.</b><br>",0,0,"congruent","i","no",0,3354,"",""
"SNSAAiEamlZV","accuracy_speed",8,"trainstation","spd",334,"To avoid people spending the night at the train station, the manager posted a rule:<br> ""No sleeping allowed on the benches""<br><br><br><b>A vagrant spends the night sleeping on the station floor.</b><br>",0,1,"incongruent","i","no",0,1918,"",""
"KiiD5lxMjleo","accuracy_speed",1,"deer","acc",34,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man heads deep into the local forest and shoots a deer.</b><br>",1,1,"congruent","i","yes",1,2220,"yes","e"
"KiiD5lxMjleo","accuracy_speed",1,"deer","acc",37,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A woman hikes in the woods carrying a flashlight and a lunch box.</b><br>",0,0,"congruent","i","no",0,2680,"no","i"
"KiiD5lxMjleo","accuracy_speed",1,"deer","acc",40,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A vet shoots a deer with a disease that threatens the whole herd.</b><br>",1,0,"incongruent","i","yes",1,3055,"","null"
"KiiD5lxMjleo","accuracy_speed",1,"deer","acc",43,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A woman enters a wildlife reserve where she shoots two deer.</b><br>",1,1,"congruent","i","yes",1,2695,"yes","e"
"KiiD5lxMjleo","accuracy_speed",1,"deer","acc",46,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man heads deep into the local forest and sees several deer.</b><br>",0,0,"congruent","i","no",0,2139,"no","i"
