,a(full violation),a(no violation),a(purpose violation),a(text violation),v,t(full violation),t(no violation),t(purpose violation),t(text violation),z_trans(full violation),z_trans(no violation),z_trans(purpose violation),z_trans(text violation)
83,3.3578986075097803,3.4070659420195897,2.9327925352093667,3.0675581950324813,-0.06985708792536902,1.0890768219138696,1.002872604360349,0.920677582711793,1.0519903749198618,1.092052241215571,-0.9519816904462829,-0.21140593199448088,0.44743810230482095
84,3.3322856257442433,3.3392442802314455,2.934290024888453,3.0963446786465343,-0.07178100395118794,1.091302826183103,1.0024237888500829,0.8930410703632253,1.0843943841120929,1.0882711992741523,-0.9404136766793236,-0.17716262178254452,0.436269219911119
85,3.3466373526166264,3.2734600824184534,2.9592507855146306,3.0915487176388288,-0.07637752270017052,1.0906622013088463,0.9843385862660747,0.908926687544677,1.0080690488437074,1.06309101277172,-0.8926757438167845,-0.19386147086852792,0.4126185410509075
86,3.396438700471797,3.2769888265451126,2.8927995032727822,3.099640941687204,-0.07241945182844226,1.0930174832781407,0.9994285516564356,0.9353884745100367,1.022245706830518,1.0834127139371879,-0.8929538758230924,-0.2534389293450632,0.4132028031864031
87,3.4100111304970806,3.3731516941398,2.9193285562883178,3.1275248993177596,-0.08939890246209692,1.0930469971137728,0.9959671390738786,0.9133121877698255,1.014759498820324,1.152249029695502,-0.9274667825116139,-0.2322977954224553,0.41170122549613475
88,3.373181789405375,3.3592810927330436,2.9233926679840154,3.121121976971098,-0.08665802562872041,1.0947979461279864,0.9887732988440793,0.9027319085418092,1.0088454492465522,1.1472613192183216,-0.9165477520100034,-0.24389421921346957,0.4008293492303312
89,3.2897211279087393,3.3187772032517198,2.965098060766729,3.0836971117660057,-0.06399613696983242,1.0896684805975931,1.009468908667139,0.9280427529856757,1.0438107779759034,1.0731042004878013,-0.9283130805899917,-0.258476652770131,0.3910507960589259
90,3.38704195199841,3.327627079412547,2.983620277589566,3.155858587700845,-0.07532287313322156,1.0927247445168407,1.0080556319097886,0.9101158422512694,1.0041580735890328,1.110524802777726,-0.9167966274779807,-0.24903576360336033,0.3797629901439468
91,3.2916899745216353,3.2622499252415524,2.953738346643541,3.0987512415380327,-0.0966012699322634,1.0935731083791944,0.9950256857824153,0.9355943929348447,1.0361654768258313,1.1065503165136963,-0.874631226489664,-0.2027873206649442,0.4169757477630794
92,3.302065504543248,3.3053290969485665,2.9499362624853456,3.1316084780714517,-0.07599285530276134,1.0953843568958925,0.9858604270347177,0.9414129165226789,1.0439180668639116,1.1087320854302085,-0.8867142725478638,-0.24977742812225012,0.465538512363351
